Symbol,Expiry,Strike,CE_LTP,PE_LTP,CE_OI,PE_OI
BANKNIFTY,28-Oct-25,56800,0,0,0,0
BANKNIFTY,25-Nov-25,56800,0,0,0,0
BANKNIFTY,30-Sep-25,56900,50.8,0,1261,93
BANKNIFTY,28-Oct-25,56900,0,0,0,0
BANKNIFTY,25-Nov-25,56900,0,0,0,0
BANKNIFTY,30-Sep-25,57000,45.2,2636.8,51099.57142857143,29711.85714285714
BANKNIFTY,28-Oct-25,57000,187.35,2492.85,372,106
BANKNIFTY,25-Nov-25,57000,0,0,0,0
BANKNIFTY,30-Dec-25,57000,779.9,2263.6,2479,4829
BANKNIFTY,30-Sep-25,57100,42.8,0,2090,77
BANKNIFTY,28-Oct-25,57100,0,0,0,0
BANKNIFTY,25-Nov-25,57100,0,0,0,0
BANKNIFTY,30-Sep-25,57200,39.45,0,1804,281
BANKNIFTY,28-Oct-25,57200,0,0,0,0
BANKNIFTY,25-Nov-25,57200,0,0,0,0
BANKNIFTY,30-Sep-25,57300,35.4,3100,1314,65
BANKNIFTY,28-Oct-25,57300,0,0,0,0
BANKNIFTY,25-Nov-25,57300,0,0,0,0
BANKNIFTY,30-Sep-25,57400,31.15,0,914,17
BANKNIFTY,28-Oct-25,57400,0,0,0,0
BANKNIFTY,25-Nov-25,57400,0,0,0,0
BANKNIFTY,30-Sep-25,57500,27.5,3200,20334,1512
BANKNIFTY,28-Oct-25,57500,0,3113.2,0,22
BANKNIFTY,25-Nov-25,57500,0,0,0,0
BANKNIFTY,30-Sep-25,57600,27,0,1916,5
BANKNIFTY,28-Oct-25,57600,0,0,0,0
BANKNIFTY,25-Nov-25,57600,0,0,0,0
BANKNIFTY,30-Sep-25,57700,24.2,3437.75,849,10
BANKNIFTY,28-Oct-25,57700,0,0,0,0
BANKNIFTY,25-Nov-25,57700,0,0,0,0
BANKNIFTY,30-Sep-25,57800,20.95,0,180,25
BANKNIFTY,28-Oct-25,57800,0,0,1,0
BANKNIFTY,25-Nov-25,57800,0,0,0,0
BANKNIFTY,30-Sep-25,57900,21.75,0,237,21
BANKNIFTY,28-Oct-25,57900,0,0,0,0
BANKNIFTY,25-Nov-25,57900,0,0,0,0
BANKNIFTY,30-Sep-25,58000,20,3605.45,20107,3821
BANKNIFTY,28-Oct-25,58000,86.3,3425,2305,0
BANKNIFTY,25-Nov-25,58000,0,0,0,0
BANKNIFTY,30-Sep-25,58100,0,0,0,2
BANKNIFTY,28-Oct-25,58100,0,0,0,0
BANKNIFTY,25-Nov-25,58100,0,0,0,0
BANKNIFTY,30-Sep-25,58200,16.35,0,723,17
BANKNIFTY,28-Oct-25,58200,0,0,1,0
BANKNIFTY,25-Nov-25,58200,0,0,0,0
BANKNIFTY,30-Sep-25,58300,0,0,0,4
BANKNIFTY,28-Oct-25,58300,0,0,0,0
BANKNIFTY,25-Nov-25,58300,0,0,0,0
BANKNIFTY,30-Sep-25,58400,15.3,0,87,0
BANKNIFTY,28-Oct-25,58400,0,0,0,0
BANKNIFTY,25-Nov-25,58400,0,0,0,0
BANKNIFTY,30-Sep-25,58500,14.25,4148.05,9292,238
BANKNIFTY,28-Oct-25,58500,0,0,0,0
BANKNIFTY,25-Nov-25,58500,0,0,0,0
BANKNIFTY,30-Dec-25,58500,381.35,3542.55,912,284
BANKNIFTY,30-Sep-25,58600,0,0,0,1
BANKNIFTY,28-Oct-25,58600,0,0,0,0
BANKNIFTY,25-Nov-25,58600,0,0,0,0
BANKNIFTY,30-Sep-25,58700,0,0,0,28
BANKNIFTY,28-Oct-25,58700,0,0,0,0
BANKNIFTY,25-Nov-25,58700,0,0,0,0
BANKNIFTY,30-Sep-25,58800,0,0,0,2
BANKNIFTY,28-Oct-25,58800,0,0,0,0
BANKNIFTY,25-Nov-25,58800,0,0,0,0
BANKNIFTY,30-Sep-25,58900,17.5,0,67,0
BANKNIFTY,28-Oct-25,58900,0,0,0,0
BANKNIFTY,30-Sep-25,59000,11.35,4601.65,9375,2136
BANKNIFTY,28-Oct-25,59000,0,0,1,0
BANKNIFTY,25-Nov-25,59000,0,0,0,0
BANKNIFTY,30-Sep-25,59100,0,0,0,0
BANKNIFTY,28-Oct-25,59100,0,0,0,0
BANKNIFTY,30-Sep-25,59200,10.5,0,112,0
BANKNIFTY,28-Oct-25,59200,0,0,0,0
BANKNIFTY,30-Sep-25,59300,8.4,0,5,0
BANKNIFTY,28-Oct-25,59300,0,0,0,0
BANKNIFTY,30-Sep-25,59400,0,0,0,1
BANKNIFTY,28-Oct-25,59400,0,0,0,0
BANKNIFTY,30-Sep-25,59500,9.15,0,1206,13
BANKNIFTY,28-Oct-25,59500,0,0,0,0
BANKNIFTY,25-Nov-25,59500,0,0,0,0
